"primerid" "Pr(>Chisq)" "coef" "FDR"
"CG31872" 1.95916535152358e-07 0.467567693542201 1.06803043192281e-06
"CG32137" 6.58337606268167e-05 -0.25373537915303 0.000216807370040807
"CG32264" 0.000718507693343432 -0.187982998193524 0.00191204772422909
"CG32369" 9.99365674182258e-05 -0.240810816325979 0.000314366289105511
"CG32486" 4.99740979150085e-05 -0.293857654093528 0.000167525110324043
"CG32683" 0.00331018785043949 -0.1568610802838 0.00766462052792483
"CG32816" 3.24279734082905e-05 -0.213970241212532 0.000115242449802248
"CG32833" 1.11448440770218e-07 0.254741604551108 6.41828712743361e-07
"CG32982" 3.51288841632464e-06 -0.292597019892899 1.54100534825491e-05
"CG33169" 0.000153893734648112 0.225914747440293 0.000467088281107647
"CG33181" 0.00148929089480735 -0.250161190074692 0.00373320016711753
"CG33288" 1.95702263711594e-05 -0.29672501247698 7.32578807160398e-05
"CG33303" 0.00120409936230292 0.154366164170773 0.00305928412639407
"CG34033" 1.32594204836124e-08 0.39352873462351 9.19156123647944e-08
"CG34041" 1.39542833106024e-25 -1.02124580128006 8.24771587252971e-24
"CG34051" 2.33809180554186e-08 0.459928280821209 1.55365508735119e-07
"CG34120" 1.06312295362139e-11 -0.64340730260172 1.15911366690953e-10
"CG34129" 1.52793665475514e-08 0.352864289069793 1.0399229474485e-07
"CG34130" 1.59760809302717e-07 0.340735906841651 8.79467592387018e-07
"CG34256" 0.00234209018302758 0.132827325359952 0.0056320498405567
"CG34299" 0.00115022561032462 0.191183430302213 0.00293568945544216
"CG40228" 0.00025417197188528 -0.154026763677238 0.000747212367610391
"CG41378" 1.11353604485467e-08 -0.420908303681067 7.8647860274956e-08
"CG42465" 3.61366956094603e-05 0.216719435353038 0.000126422146945246
"CG42467" 2.62114991404823e-09 -0.469100585871232 2.0729234883635e-08
"CG42470" 3.299219678219e-05 -0.307026650993001 0.000116877719199998
"CG42471" 0.000115119671174765 0.305211401365924 0.000356141572256917
"CG42481" 2.1203854090276e-59 0.824108273614589 4.76238562867599e-57
"CG42682" 0.00127100384770582 -0.243417869894269 0.00320749959769357
"CG42824" 0.000429599591103991 0.196545512981592 0.00118535710272674
"CG42852" 1.05852336896771e-23 0.614957184570323 4.2454347976812e-22
"CG42866" 4.57747935984762e-05 0.210454011042782 0.000155302396408123
"CG42869" 6.12952862015197e-07 0.309479317814432 3.11468807259306e-06
"CG4297" 5.45616772280625e-06 -0.376075521976157 2.31217975574016e-05
"CG43063" 5.4012114901846e-06 0.255685434849332 2.29756079677171e-05
"CG43123" 8.5977106567367e-06 0.258985485009286 3.42384009486359e-05
"CG43147" 7.37096061874227e-57 0.735964074993994 1.37959812914126e-54
"CG43185" 0.00136272959208493 0.199835279895229 0.0034235913465579
"CG43254" 1.3931266106695e-07 -0.407312196648946 7.82240591890923e-07
"CG43307" 6.74172546450184e-06 0.294651250263074 2.77296233091719e-05
"CG43319" 1.45639699147264e-07 0.390280676497232 8.11735877330168e-07
"CG43350" 6.76573177801701e-06 0.359252548667691 2.77296233091719e-05
"CG43354" 7.51154621042491e-07 0.384226489672385 3.76583321174427e-06
"CG43362" 0.00011054198397211 0.252975370187683 0.000345059495329006
"CG43392" 1.07423922659528e-18 0.598883705636649 3.17465960912236e-17
"CG43407" 0.000625074082323112 0.177469239152243 0.00167132903440203
"CG43759" 6.1942446209254e-06 -0.28845142546993 2.58592442724878e-05
"CG44088" 1.78388465077296e-09 0.427725527348147 1.48392775023558e-08
"CG44102" 5.06363872520223e-08 -0.499060889767624 3.21269281830627e-07
"CG44139" 7.40692819177131e-08 0.306926054440726 4.54534445866622e-07
"CG44198" 1.30841167239479e-12 0.559598986368606 1.68890380241305e-11
"CG44388" 1.37935785997025e-15 0.643764051533832 2.58169812791098e-14
"CG44406" 3.22436719841891e-09 -0.424317433044898 2.49721680263754e-08
"CG44477" 4.31330642737614e-05 0.223808613861646 0.000148139171297878
"CG44574" 8.89459934381159e-06 0.279977628277643 3.52955302583054e-05
"CG45012" 0.000935006648886253 0.203807329999725 0.00243622382064794
"CG4839" 9.42886745413653e-06 -0.252450181095073 3.71530461438432e-05
"CG4896" 1.94378766767094e-09 -0.476092216134953 1.60505408146652e-08
"CG5151" 0.00444387659481154 -0.129117859046317 0.0099017329682011
"CG6071" 5.64883111901183e-07 0.33195347134269 2.89663805783118e-06
"CG6168" 8.74529885759532e-05 0.204984070666898 0.000280599160487987
"CG6700" 1.05885940841013e-06 -0.381299406141069 5.21534699844114e-06
"CG6770" 5.83486547350338e-09 -0.578245765545349 4.28271498480019e-08
"CG7630" 6.69744874237983e-06 0.224574489616616 2.76515990356344e-05
"CG9005" 8.04559654072836e-06 -0.283322894439348 3.25007371051725e-05
"CG9029" 5.12608765640981e-28 0.515508804619537 3.83773095876548e-26
"CG9336" 4.67591817245906e-14 0.592362463317638 7.3958536727768e-13
"CG9399" 0.000391675773631402 -0.173796278780534 0.0010914439051813
"CG9427" 0.00124999798137045 0.228855396461701 0.00316873077444472
"CG9702" 6.49102010946888e-05 0.209001079012709 0.000214965866454054
"CG9932" 7.5905869356896e-37 -1.28755739413715 1.06552864109743e-34
"CG9997" 0.000856708117843806 0.273642618077583 0.00225312228650725
"CHOp24" 0.00104765189516383 0.228927135217425 0.00270462776613559
"CLIP-190" 2.00293464234692e-12 -0.661561126789137 2.418597422963e-11
"CNBP" 2.23473288419316e-06 0.247543864502031 1.02852665120857e-05
"CNMaR" 0.000181950945964161 -0.172257520245035 0.000549276646015465
"COX4" 0.000284356445536565 -0.275796200734561 0.000823021361694748
"COX5B" 0.000170791646622787 0.151785200021933 0.00051697848829485
"CR33222" 5.80720575145862e-14 0.41082694889485 8.81282710660545e-13
"CR34285" 7.51702602315866e-06 -0.301300152788148 3.04751632635638e-05
"Ca-alpha1D" 2.74434850947075e-21 -0.858542812058658 9.63094805042391e-20
"CaBP1" 0.000129794115530348 0.255274066588922 0.000399339155453645
"CadN" 3.44001691010279e-05 -0.24806446810093 0.000121101535738101
"Calr" 1.56900438228588e-05 0.337860911571182 5.95267540982109e-05
"Caper" 2.33001198543671e-05 -0.306031591579095 8.60724822251786e-05
"Cf2" 0.000457505362895634 -0.154449269061827 0.00125311834763853
"Cirl" 1.44363774290193e-08 -0.326413455692415 9.88539747121257e-08
"CkIIbeta" 4.66045207898714e-09 -0.376726655889447 3.53627546263687e-08
"CrebA" 2.00465428664114e-25 -1.02008268749482 1.125613381949e-23
"Cyp1" 6.01701695258998e-05 0.218316555308459 0.000200507716253963
"Cyp49a1" 0.00402461831456008 -0.11279056298562 0.00905740754960114
